time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010448100000	20.3419	12.3881	5.01113	1.43919	-1.07976	lidar	0.800487	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.3077	12.6162	4.91328	1.69138	2.02482	radar	3.5202	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.32	12.8425	4.86413	1.74741	1.82788	lidar	1.92167	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3243	13.0605	4.7981	1.67467	0.450424	radar	2.43815	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2846	13.2702	4.74503	1.70349	0.469198	lidar	0.991466	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2443	13.501	4.75004	1.68751	-0.0316871	radar	1.25112	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2275	13.7697	4.81636	1.68128	-0.0353028	lidar	1.28674	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1779	13.9922	4.79179	1.78289	0.981586	radar	0.850474	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1103	14.2557	4.86385	1.83921	0.995902	lidar	0.409524	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0402	14.4816	4.85643	1.82978	0.306694	radar	1.50015	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9235	14.7496	4.96155	1.86603	0.293294	lidar	1.29712	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8528	14.9631	4.92012	1.85646	-0.00901334	radar	2.95177	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8406	15.1774	4.83726	1.82978	-0.0548572	lidar	1.91094	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.7294	15.391	4.82071	2.11054	2.89984	radar	2.44635	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6769	15.5472	4.66217	2.21367	2.81542	lidar	3.36861	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5961	15.7406	4.56147	2.0273	-0.409588	radar	3.47889	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4872	15.9649	4.60928	2.00378	-0.449258	lidar	0.14093	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3827	16.1628	4.60077	1.99555	-0.386878	radar	0.897817	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2862	16.3504	4.56273	1.9802	-0.399922	lidar	0.461727	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1726	16.5432	4.5546	2.10452	1.05558	radar	0.673936	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.03	16.766	4.63589	2.16467	1.07301	lidar	0.39405	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8895	16.9627	4.67185	2.3029	2.02863	radar	3.29611	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6746	17.2019	4.8655	2.39918	1.90266	lidar	2.35318	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5467	17.4081	4.8249	2.13102	-1.80059	radar	3.42347	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3556	17.6283	4.92912	2.05964	-1.80186	lidar	3.88717	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.215	17.8045	4.8517	2.18762	0.371398	radar	1.61391	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.1046	17.9994	4.81	2.18813	0.295557	lidar	0.73034	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9315	18.162	4.81046	2.368	1.90595	radar	2.00316	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.8007	18.2837	4.68213	2.45571	1.9516	lidar	0.970039	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6755	18.4576	4.62273	2.3576	0.15378	radar	7.03125	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4721	18.6515	4.73109	2.36147	0.084319	lidar	0.692863	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.3014	18.7851	4.68748	2.4475	0.853765	radar	1.72596	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1375	18.915	4.63497	2.48818	0.837202	lidar	0.155144	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9723	19.0814	4.64609	2.45288	0.184277	radar	3.00926	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.751	19.2042	4.67509	2.48391	0.22411	lidar	2.92245	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5632	19.3583	4.70594	2.54177	0.825376	radar	3.27607	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3202	19.5293	4.8441	2.5811	0.82287	lidar	1.02054	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.1057	19.6091	4.80087	2.64587	0.817717	radar	9.65814	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8881	19.7519	4.85403	2.67404	0.786263	lidar	0.848022	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.692	19.8684	4.82055	2.57772	-0.664837	radar	1.98215	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4593	20.0496	4.94178	2.52961	-0.700588	lidar	1.15952	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2402	20.1943	4.97704	2.63457	0.874765	radar	5.87132	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0603	20.3237	4.92291	2.66174	0.8335	lidar	1.79221	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8311	20.4096	4.92023	2.73296	1.01769	radar	2.08285	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6123	20.5202	4.9263	2.77413	0.997134	lidar	0.574026	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3762	20.6128	4.95047	2.80582	0.828166	radar	0.796007	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1249	20.6752	4.96706	2.85621	0.843401	lidar	0.647766	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.8898	20.749	4.97113	2.86925	0.566066	radar	0.0777557	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6062	20.8087	5.05234	2.90362	0.570271	lidar	1.43521	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3679	20.8418	5.02884	2.98937	1.10067	radar	0.866735	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1198	20.8645	5.02073	3.04853	1.10749	lidar	0.0754606	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.8879	20.9213	4.99935	2.98217	-0.0324549	radar	2.27217	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.701	20.9624	4.88459	2.97964	-0.0232225	lidar	2.18091	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
